rank,agent_id,name,party,score,persuasion_cap,degree,involvement,support
56,A0933,A0933 ASCII Advocate,pdd,0.8077,0.9646,6,0.6926,1.0
57,A0451,A0451 Patchwork Pol,pdd,0.8072,0.9663,6,0.6827,1.0
58,A0024,A0024 README Rep,pdd,0.8071,0.9429,7,0.6371,1.0
59,A0410,A0410 Trojan Troll,pdd,0.8046,0.9242,6,0.834,1.0
60,A0905,A0905 USB Unit,ped,0.8043,0.9139,6,0.873,1.0
61,A0195,A0195 Read-Only Randy,pdd,0.8042,0.8816,7,0.8623,1.0
62,A0234,A0234 Spreadsheet Swami,pdd,0.8031,0.9084,7,0.7478,1.0
63,A0671,A0671 Bias Baron,pdd,0.7992,0.9416,6,0.7282,1.0
64,A0608,A0608 Latency Lord,pde,0.7986,0.9367,6,0.7441,1.0
65,A0733,A0733 Spreadsheet Swami,ped,0.7979,0.9549,6,0.6662,1.0
66,A0308,A0308 ASCII Advocate,pde,0.7968,0.9034,6,0.8653,1.0
67,A0648,A0648 Sir Stochastic Gradient,pdd,0.796,0.9783,4,0.8376,1.0
68,A0582,A0582 Excel Lord,ped,0.7955,0.8728,7,0.84,1.0
69,A0312,A0312 Chief Cache-Memory,pdd,0.7953,0.9715,6,0.5829,1.0
70,A0540,A0540 Markov Model Man,pde,0.7953,0.9567,5,0.7809,1.0
71,A0431,A0431 Colonel Cryptography,pdd,0.7936,0.9677,6,0.5866,1.0
72,A0650,A0650 USB Unit,ped,0.7923,0.9068,7,0.683,1.0
73,A0282,A0282 Regression Rep,pde,0.792,0.8593,7,0.8707,1.0
74,A0429,A0429 Lady Latent Space,pdd,0.7917,0.9063,6,0.8195,1.0
75,A0329,A0329 Protocol Prince,pde,0.7915,0.946,5,0.7982,1.0
76,A0716,A0716 Baron Big Data,pde,0.7911,0.8582,7,0.8691,1.0
77,A0624,A0624 Wiki Warrior,pdd,0.7911,0.954,6,0.6242,1.0
78,A0810,A0810 LSTM Leader,pee,0.791,0.9638,6,0.5846,1.0
79,A0553,A0553 Congressman 404,pdd,0.7902,0.9452,6,0.6534,1.0
80,A0200,A0200 Byte Baron,pdd,0.7899,0.9481,6,0.6405,1.0
81,A0772,A0772 Brother TensorFlow,pde,0.7892,0.8955,6,0.8463,1.0
82,A0998,A0998 Sudo Senator,ped,0.7883,0.9691,5,0.6844,1.0
83,A0979,A0979 Baron Big Data,ped,0.7883,0.8465,7,0.8969,1.0
84,A0782,A0782 General Cloud,pdd,0.7878,0.9617,6,0.5718,1.0
85,A0085,A0085 VGA Visionary,ped,0.7871,0.9985,5,0.559,1.0
86,A0989,A0989 Cyber Senator,pde,0.7863,0.9652,5,0.6866,1.0
87,A0904,A0904 Dataframe Dave,pdd,0.7862,0.9312,6,0.6832,1.0
88,A0304,A0304 Script Kiddie,pdd,0.7834,0.9042,6,0.7726,1.0
89,A0852,A0852 Wiki Warrior,spd,0.7826,0.9038,7,0.6302,1.0
90,A0048,A0048 Mainframe Max,ped,0.7818,0.8724,7,0.7499,1.0
91,A0911,A0911 Python Preacher,pee,0.781,0.8448,8,0.716,1.0
92,A0101,A0101 Lady Tokenizer,pde,0.7803,0.8346,7,0.8916,1.0
93,A0674,A0674 LSTM Leader,spd,0.7802,0.8493,7,0.8318,1.0
94,A0018,A0018 Lord Load Balancer,ped,0.7791,0.9367,6,0.6138,1.0
95,A0110,A0110 Infinite Loop,pdd,0.7788,0.8641,6,0.9023,1.0
96,A0057,A0057 Copper Cable King,pde,0.7787,0.9355,6,0.6157,1.0
97,A0598,A0598 Patchwork Pol,ped,0.7764,0.933,6,0.6108,1.0
98,A0326,A0326 README Rep,pdd,0.7759,0.9463,5,0.6933,1.0
99,A0469,A0469 AI Architect,pdd,0.775,0.9051,6,0.7128,1.0
100,A0968,A0968 Regression Rep,ped,0.7746,0.8452,8,0.6719,1.0
